395,396,396,396,396,396,396,396,396,396,396,396,396,396,396,396,396,396,396,396,396,396,396,396,396,396,396,396,396,396,396,397
411,412,412,412,412,412,412,412,412,412,412,412,412,412,412,412,412,412,412,467,456,460,452,483,412,412,412,412,412,412,412,413
427,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,429
274,275,264,265,264,265,264,265,264,265,264,265,264,265,264,265,264,265,264,265,264,265,264,265,264,265,264,265,264,265,274,275
258,259,280,281,280,281,280,281,280,281,280,281,280,281,280,281,280,281,280,281,280,281,280,281,280,281,280,281,280,281,258,259
274,275,264,265,264,265,264,265,264,265,264,265,264,265,264,265,264,265,264,265,264,265,264,265,264,265,264,265,264,265,274,275
258,259,280,281,280,281,280,281,280,281,280,281,280,281,280,281,280,281,280,281,280,281,280,281,280,281,280,281,280,281,258,259
274,275,264,265,264,265,264,265,264,265,264,265,264,265,264,265,264,265,264,265,264,265,264,265,264,265,264,265,264,265,274,275
258,259,280,281,280,281,280,281,280,281,280,281,280,281,280,281,280,281,280,281,280,281,280,281,280,281,280,281,280,281,258,259
274,275,264,265,264,265,264,265,264,265,264,265,264,265,264,265,264,265,264,265,264,265,264,265,264,265,264,265,264,265,274,275
258,259,280,281,280,281,280,281,280,281,280,281,280,281,280,281,280,281,280,281,280,281,280,281,280,281,280,281,280,281,258,259
274,275,264,265,264,265,264,265,264,265,264,265,264,265,264,265,264,265,264,265,264,265,264,265,264,265,264,265,264,265,274,275
258,259,280,281,280,281,280,281,280,281,280,281,280,281,280,281,280,281,280,281,280,281,280,281,280,281,280,281,280,281,258,259
274,275,264,265,264,265,264,265,264,265,264,265,264,265,264,265,264,265,264,265,264,265,264,265,264,265,264,265,264,265,274,275
258,259,280,281,280,281,280,281,280,281,280,281,280,281,280,281,280,281,280,281,280,281,280,281,280,281,280,281,280,281,258,259
274,275,264,265,264,265,264,265,264,265,264,265,264,265,264,265,264,265,264,265,264,265,264,265,264,265,264,265,264,265,274,275
258,259,280,281,280,281,280,281,280,281,280,281,280,281,280,281,280,281,280,281,280,281,280,281,280,281,280,281,280,281,258,259
274,275,264,265,264,265,264,265,264,265,264,265,264,265,264,265,264,265,264,265,264,265,264,265,264,265,264,265,264,265,274,275
258,259,280,281,280,281,280,281,280,281,280,281,280,281,280,281,280,281,280,281,280,281,280,281,280,281,280,281,280,281,258,259
274,275,264,265,264,265,264,265,264,265,264,265,264,265,264,265,264,265,264,265,264,265,264,265,264,265,264,265,264,265,274,275
258,259,280,281,280,281,280,281,280,281,280,281,280,281,280,281,280,281,280,281,280,281,280,281,280,281,280,281,280,281,258,259
274,275,264,265,264,265,264,265,264,265,264,265,264,265,264,265,264,265,264,265,264,265,264,265,264,265,264,265,264,265,274,275
258,259,280,281,280,281,280,281,280,281,280,281,280,281,280,281,280,281,280,281,280,281,280,281,280,281,280,281,280,281,258,259
274,275,264,265,264,265,264,265,264,265,264,265,264,265,264,265,264,265,264,265,264,265,264,265,264,265,264,265,264,265,274,275
258,259,280,281,280,281,280,281,280,281,280,281,280,281,280,281,280,281,280,281,280,281,280,281,280,281,280,281,280,281,258,259
274,275,264,265,264,265,264,265,264,265,264,265,264,265,264,265,264,265,264,265,264,265,264,265,264,265,264,265,264,265,274,275
258,259,280,281,280,281,280,281,280,281,280,281,280,281,280,281,280,281,280,281,280,281,280,281,280,281,280,281,280,281,258,259
274,275,264,265,264,265,264,265,264,265,264,265,264,265,264,265,264,265,264,265,264,265,264,265,264,265,264,265,264,265,274,275
258,259,258,259,258,259,258,259,258,259,258,259,258,259,258,259,258,259,258,259,258,259,258,259,258,259,258,259,258,259,258,259
274,275,274,275,274,275,274,275,274,275,274,275,274,275,274,275,274,275,274,275,274,275,274,275,274,275,274,275,274,275,274,275
